program_studi,bidang_ilmu_id
Teknik Telekomunikasi Militer,10
Teknik Tenaga Listrik,10
Teknik Transportasi Laut,10
Teknika,10
TeknikTelekomunikasi dan Navigasi Udara,10
Teknisi Mesin Perkakas,10
Teknisi Teknik Manufaktur Ban,10
Teknokimia Nuklir,10
Teknologi  Elektro-medis,10
Teknologi Bangunan dan Jalur Perkeretaapian,10
Teknologi Bioproses,10
Teknologi Daya Gerak,10
Teknologi Elektro Medis,10
Teknologi Elektro Perkeretaapian,10
Teknologi Elektro-medis,10
Teknologi Elektromedis,10
Teknologi Elektronika,10
Teknologi Geologi,10
Teknologi Geomatika,10
TEKNOLOGI INDUSTRI,10
Teknologi Industri Cetak kemasan,10
Teknologi Industri Kimia,10
Teknologi Industri Pertanian,10
Teknologi industri Tekstil,10
Teknologi Informasi,10
Teknologi Informasi (Kampus Kab Lumajang),10
Teknologi Informasi (Kampus Kota Surabaya),10
Teknologi Instrumentasi,10
Teknologi Kebumian dan Lingkungan,10
Teknologi Kelautan,10
Teknologi Kimia,10
Teknologi Kimia Industri,10
Teknologi Kimia Industri (Kampus Kab. Nagakeo),10
Teknologi Kimia Tekstil,10
Teknologi Komputer,10
Teknologi Komputer Kampus Kabupaten Banyumas ,10
Teknologi Komputer Kampus Kota Tegal ,10
Teknologi Komunikasi Mobil,10
Teknologi Konstruksi Bangunan Air,10
Teknologi Konstruksi Bangunan Gedung,10
Teknologi Konstruksi Jalan dan Jembatan,10
"Teknologi Konstruksi Jalan, Jembatan, dan Bangunan Air",10
Teknologi Laboratorium Medis,10
Teknologi Lingkungan,10
